"filename", "language", "JavaScript", "PHP", "JSON with Comments", "JSON", "CSS", "HTML", "XML", "YAML", "Markdown", "comment", "blank", "total"
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\ActionsJS\registroNumeroPreenAction.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\ActionsJS\registroSenhaCharAction.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 29
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\ActionsJS\registroSenhaDiferenteAction.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 29
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\ActionsJS\registroVerificarUsuario.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\ActionsJS\sideBarAction.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 38
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\ActionsJS\toastTimer.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\JQuery 3.6.0\jquery-3.6.0.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\JQuery 3.6.0\jquery.mask.js", "JavaScript", 472, 0, 0, 0, 0, 0, 0, 0, 0, 60, 73, 605
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\JQuery 3.6.0\jquery.mask.min.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 20
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\VegaExpress.code-workspace", "JSON with Comments", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\app\Db\Database.php", "PHP", 0, 76, 0, 0, 0, 0, 0, 0, 0, 18, 27, 121
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\app\Entity\Produto.php", "PHP", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 11, 40
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\app\Entity\Usuario.php", "PHP", 0, 103, 0, 0, 0, 0, 0, 0, 0, 5, 21, 129
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\app\Funcs\money_format.php", "PHP", 0, 91, 0, 0, 0, 0, 0, 0, 0, 12, 12, 115
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\bootstrap-5.0.0B3\css\bootstrap-grid.css", "CSS", 0, 0, 0, 0, 3855, 0, 0, 0, 0, 7, 1135, 4997
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\bootstrap-5.0.0B3\css\bootstrap-grid.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 6, 0, 7
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\bootstrap-5.0.0B3\css\bootstrap-grid.rtl.css", "CSS", 0, 0, 0, 0, 3855, 0, 0, 0, 0, 7, 1134, 4996
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\bootstrap-5.0.0B3\css\bootstrap-grid.rtl.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 6, 0, 7
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\bootstrap-5.0.0B3\css\bootstrap-reboot.css", "CSS", 0, 0, 0, 0, 346, 0, 0, 0, 0, 16, 64, 426
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\bootstrap-5.0.0B3\css\bootstrap-reboot.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 7, 0, 8
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\bootstrap-5.0.0B3\css\bootstrap-reboot.rtl.css", "CSS", 0, 0, 0, 0, 352, 0, 0, 0, 0, 8, 63, 423
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\bootstrap-5.0.0B3\css\bootstrap-reboot.rtl.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 7, 0, 8
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\bootstrap-5.0.0B3\css\bootstrap-utilities.css", "CSS", 0, 0, 0, 0, 3634, 0, 0, 0, 0, 9, 1109, 4752
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\bootstrap-5.0.0B3\css\bootstrap-utilities.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 6, 0, 7
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\bootstrap-5.0.0B3\css\bootstrap-utilities.rtl.css", "CSS", 0, 0, 0, 0, 3630, 0, 0, 0, 0, 7, 1106, 4743
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\bootstrap-5.0.0B3\css\bootstrap-utilities.rtl.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 6, 0, 7
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\bootstrap-5.0.0B3\css\bootstrap.css", "CSS", 0, 0, 0, 0, 9088, 0, 0, 0, 0, 27, 1714, 10829
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\bootstrap-5.0.0B3\css\bootstrap.min.css", "CSS", 0, 0, 0, 0, 2, 0, 0, 0, 0, 5, 0, 7
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\bootstrap-5.0.0B3\css\bootstrap.rtl.css", "CSS", 0, 0, 0, 0, 9090, 0, 0, 0, 0, 7, 1708, 10805
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\bootstrap-5.0.0B3\css\bootstrap.rtl.min.css", "CSS", 0, 0, 0, 0, 2, 0, 0, 0, 0, 5, 0, 7
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\bootstrap-5.0.0B3\js\bootstrap.bundle.js", "JavaScript", 4890, 0, 0, 0, 0, 0, 0, 0, 0, 560, 1326, 6776
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\bootstrap-5.0.0B3\js\bootstrap.bundle.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 7
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\bootstrap-5.0.0B3\js\bootstrap.esm.js", "JavaScript", 3479, 0, 0, 0, 0, 0, 0, 0, 0, 472, 1044, 4995
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\bootstrap-5.0.0B3\js\bootstrap.esm.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 7
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\bootstrap-5.0.0B3\js\bootstrap.js", "JavaScript", 3518, 0, 0, 0, 0, 0, 0, 0, 0, 478, 1048, 5044
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\bootstrap-5.0.0B3\js\bootstrap.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 7
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\bootstrap-icons-1.4.0\search.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\carousel.php", "PHP", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 4, 34
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\codigosSemUso.html", "HTML", 0, 0, 0, 0, 0, 82, 0, 0, 0, 14, 30, 126
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\composer.json", "JSON", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 1, 12
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\composer.lock", "JSON", 0, 0, 0, 81, 0, 0, 0, 0, 0, 0, 1, 82
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\footer.php", "PHP", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 5, 13
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\img\LogoTCC.svg", "XML", 0, 0, 0, 0, 0, 0, 45, 0, 0, 1, 1, 47
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\img\criptos\Bitcoin.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\img\criptos\Cardano.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\img\criptos\Chainlink.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\img\criptos\Ethereum.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\img\criptos\Monero.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\img\menu.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\img\menu_open.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\img\shopping_cart.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\includes\fadeIn.css", "CSS", 0, 0, 0, 0, 52, 0, 0, 0, 0, 2, 7, 61
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\includes\link.css", "CSS", 0, 0, 0, 0, 283, 0, 0, 0, 0, 30, 86, 399
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\includes\login.css", "CSS", 0, 0, 0, 0, 256, 0, 0, 0, 0, 45, 60, 361
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\includes\perfil.css", "CSS", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 4, 16
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\includes\sideBar.css", "CSS", 0, 0, 0, 0, 88, 0, 0, 0, 0, 8, 30, 126
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\includes\sidebarT.css", "CSS", 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 11, 83
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\includes\visualizacaoProduto.css", "CSS", 0, 0, 0, 0, 35, 0, 0, 0, 0, 12, 19, 66
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\index.php", "PHP", 0, 36, 0, 0, 0, 0, 0, 0, 0, 11, 17, 64
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\listagem.php", "PHP", 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 10, 79
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\navbar.php", "PHP", 0, 136, 0, 0, 0, 0, 0, 0, 0, 0, 24, 160
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\navbarSideBar.php", "PHP", 0, 97, 0, 0, 0, 0, 0, 0, 0, 0, 23, 120
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\package-lock.json", "JSON", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 1, 29
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\package.json", "JSON", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\perfil.php", "PHP", 0, 18, 0, 0, 0, 0, 0, 0, 0, 4, 5, 27
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\perfilU.php", "PHP", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\pesquisa.php", "PHP", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 5, 28
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\produto.php", "PHP", 0, 14, 0, 0, 0, 0, 0, 0, 0, 4, 5, 23
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\registrarEmp.php", "PHP", 0, 258, 0, 0, 0, 0, 0, 0, 0, 29, 92, 379
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\registroEmpresa.php", "PHP", 0, 16, 0, 0, 0, 0, 0, 0, 0, 5, 10, 31
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\sidebarT.php", "PHP", 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 8, 93
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\sobre.php", "PHP", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 12, 61
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\sobreN.php", "PHP", 0, 13, 0, 0, 0, 0, 0, 0, 0, 4, 5, 22
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\vendor\autoload.php", "PHP", 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4, 8
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\vendor\composer\ClassLoader.php", "PHP", 0, 275, 0, 0, 0, 0, 0, 0, 0, 153, 52, 480
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\vendor\composer\InstalledVersions.php", "PHP", 0, 162, 0, 0, 0, 0, 0, 0, 0, 0, 131, 293
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\vendor\composer\autoload_classmap.php", "PHP", 0, 12, 0, 0, 0, 0, 0, 0, 0, 1, 4, 17
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\vendor\composer\autoload_namespaces.php", "PHP", 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 4, 11
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\vendor\composer\autoload_psr4.php", "PHP", 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 4, 11
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\vendor\composer\autoload_real.php", "PHP", 0, 41, 0, 0, 0, 0, 0, 0, 0, 4, 13, 58
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\vendor\composer\autoload_static.php", "PHP", 0, 46, 0, 0, 0, 0, 0, 0, 0, 1, 9, 56
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\vendor\composer\installed.json", "JSON", 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 1, 72
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\vendor\composer\installed.php", "PHP", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 1, 34
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\vendor\composer\platform_check.php", "PHP", 0, 21, 0, 0, 0, 0, 0, 0, 0, 1, 5, 27
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\vendor\mobiledetect\mobiledetectlib\Mobile_Detect.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\vendor\mobiledetect\mobiledetectlib\Mobile_Detect.php", "PHP", 0, 678, 0, 0, 0, 0, 0, 0, 0, 850, 156, 1684
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\vendor\mobiledetect\mobiledetectlib\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 232, 0, 113, 345
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\vendor\mobiledetect\mobiledetectlib\composer.json", "JSON", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 1, 32
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\vendor\mobiledetect\mobiledetectlib\docker-compose.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 1, 16
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\vendor\mobiledetect\mobiledetectlib\docs\CONTRIBUTING.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 8, 48
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\vendor\mobiledetect\mobiledetectlib\docs\HISTORY.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 6, 12
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\vendor\mobiledetect\mobiledetectlib\docs\ISSUE_TEMPLATE.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 7, 15
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\vendor\mobiledetect\mobiledetectlib\docs\KNOWN_LIMITATIONS.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 2, 15
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\vendor\mobiledetect\mobiledetectlib\export\exportToJSON.php", "PHP", 0, 28, 0, 0, 0, 0, 0, 0, 0, 32, 8, 68
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\vendor\mobiledetect\mobiledetectlib\namespaced\Detection\MobileDetect.php", "PHP", 0, 4, 0, 0, 0, 0, 0, 0, 0, 16, 3, 23
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\vendor\mobiledetect\mobiledetectlib\phpcs.xml", "XML", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 20
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\visualizacaoProduto.php", "PHP", 0, 95, 0, 0, 0, 0, 0, 0, 0, 0, 18, 113
"Total", "-", 12600, 2694, 8, 228, 34658, 82, 76, 15, 299, 3008, 12732, 66400
